id,name,acronym,description,studyIds,studies,variables,collectedDatasets,collectedVariables,harmonizedDatasets,dataschemaVariables,cohortCriteria,funding,website,typesOfCohorts,yearCreated,countries,setting,nbParticipants.total,nbParticipants.harmonized,socioEnvContext,region,dataEntryDate,age.min,age.max,methodology.analyses,methodology.moreCohortsToBeHarmonized,methodology.dataProcessingMethods,methodology.supplementaryInformation,methodology.access.metadata,methodology.access.individualData,methodology.software,methodology.infrastructure,methodology.harmonizationStrategy,methodology.nbHarmonizedVariables,methodology.harmonizationType,methodology.nbCohorts.total,healthTopic,healthTopicOther,methodology.nbCohorts.harmonized,informationStatus,socioEnvContextOther,methodology.softwareOther,methodology.analysesOther,methodology.dataProcessingMethodsOthers
helti,Healthy Life Trajectories Initiative,HeLTI,"The specific objectives of the initiative are:

- Conduct a set of harmonized, coordinated studies that will evaluate interventions along the life course from pre-conception to childhood to promote metabolic fitness and early development in children between 3-5 years of age;
- Conduct mechanistic studies that will explain the effect of the selected interventions;
- Conduct complementary policy and economic analyses;
- Develop cross-country, cross-site collaborations that will provide a learning platform and training environment for young and talented scientists;
- Use the generated evidence to guide policy and actions in the near future, and identify research and programmatic needs for long-term strategies.",,4,0,0,0,0,0,"Intervention cohorts established in Canada, China, India and South Africa that examine the effects of interventions starting preconception, during pregnancy and into early childhood on body composition of children at 5 years of age and measures of early child development.",This project has received funding from the Canadian Institutes of Health Research (CIHR); Department of Biotechnology (DBT – India); National Natural Science Foundation of China (NSFC); and South Africa Medical Research Council(SAMRC).,https://cihr-irsc.gc.ca/e/49510.html,population_cohort,2016,CAN|CHN|IND|ZAF,international,22730,22000,na,NA,2020-04-29,18,NA,na,FALSE,na,"Ongoing. Cohorts will start recruiting at different times during 2018 and are expected to take 18-24 months each. Data collection will continue until approximately 2025.Each cohort will recruit between 6,000 – 9,000 women in the preconception period.",na,na,obiba,na,prospective,1043,NA,4,birth_infancy_childhood_health,NA,4,NA,NA,NA,NA,NA
high-risk-myocardial-infarction-database-initiative,High-Risk Myocardial Infarction Database Initiative,High-Risk Myocardial Infarction Database Initiative,"The primary objectives of this initiative were to use this large database to define more precisely the prognostic profile of this high risk population and to perform rigorous subset analyses.

The information has been extracted from the article:
Dickstein, Kenneth, Judith Bebchuk, and Janet Wittes. ""The high-risk myocardial infarction database initiative."" Progress in cardiovascular diseases 54.4 (2012): 362-366.",,4,0,0,0,0,0,"Randomized, controlled, double-blind clinical trials that evaluated a pharmacologic intervention in highrisk patients following acute myocardial infarction complicated with signs of heart failure or evidence of left ventricular dysfunction.","The original budget for creating the common database was approximately US200,000. No public source was willing to provide funding, so individual members of the Scientific Committee made contributions from local research funds.",NA,clinical_trial,NA,NA,international,28771,28771,na,"Australia, Eastern Europe, Israel, Latin America, North America, New Zealand, South Africa, South Korea, Taiwan, Western Europe .",2020-05-25,18,150,meta|pooled,FALSE,na,NA,no,under_request,r|sas,na,ex_post,18,retrospective,4,cardiovascular_diseases|general_epidemiology,NA,4,missing,NA,NA,NA,NA
i3c,International Childhood Cardiovascular Cohort Consortium,I3C,"The objectives of I3C are:

1. Identify incident cardiovascular endpoints using self-reported morbidity validated by adjudication of medical records, and
2. Identify decedents using the National Death Index and adjudicate cause of death for deceased participants.",,7,0,0,0,0,0,long-term observational studies of risk factors for heart disease started in groups of school children.,This project has received funding from the National Institutes of Health (grant number RO1HL121230).,https://www.i3cconsortium.org/,population_cohort,2009,USA|FIN|AUS,international,42189,31000,na,NA,2020-04-28,3,19,meta|pooled,FALSE,na,"Harmonisation has been done for specific analyses.
More information: https://dx.doi.org/10.1016%2Fj.cct.2018.04.009",under_request,na,na,central_and_multiple,ex_post,15,NA,7,cardiovascular_diseases,NA,7,NA,NA,NA,NA,NA
i4c,International Childhood  Cancer Cohort Consortium,I4C,"The aim of I4C is to understand the aetiology and mechanistic underpinnings of childhood cancer by exploiting prospectively collected exposure and biomarker data.

A summary is provided in the publication - 'The International Childhood Cancer Cohort Consortium (I4C): A research platform of prospective cohorts for studying the aetiology of childhood cancers' at the following link - https://onlinelibrary.wiley.com/doi/full/10.1111/ppe.12519",,6,0,0,0,0,0,"Cohorts eligible for inclusion in the I4C need to recruit mothers during pregnancy or around delivery. Eligible cohorts must systematically ascertain cases of CC in the offspring and should include questionnaire and/or other exposure data that address key CC aetiology-related hypotheses. The specific goals and original outcomes of the individual cohorts (eg, pregnancy complications and/ or serious chronic childhood conditions) may vary, but critical data items include parental and offspring demographic, life style, medical, reproductive, environmental factors and parental occupational information. Specific responsibilities of newly joining or participating I4C cohorts include sharing of data (and biospecimens-if available) for current and future proposals.","NA",https://www.mcri.edu.au/research/projects/international-childhood-cancer-cohort-consortium-i4c,population_cohort,2004,AUS|DNK|BRA|CHN|FRA|ITA|ISR|JPN|NOR|GBR|USA,international,388120,NA,na,NA,2020-04-30,0,30,pooled,TRUE,na,https://www.mcri.edu.au/research/projects/international-childhood-cancer-cohortconsortium-i4c,na,na,na,central_and_multiple,ex_post,20,NA,6,birth_infancy_childhood_health|cancer,NA,6,NA,NA,NA,NA,NA
icc-dementia,International  Centenarian Consortium - dementia,ICC-dementia,"The aim of ICC-dementia is to harmonise centenarian and near-centenarian studies internationally to describe the cognitive and functional profiles of exceptionally old individuals, and ascertain the trajectories of decline and thereby the age-standardised prevalence and incidence of dementia.  The consortium is also interested in the genetic and environmental determinants of dementia-free exceptional longevity.",,17,0,0,0,0,0,"Studies are eligible to participate in ICC-Dementia if they meet the following criteria:
1.	The main focus is on individuals aged ≥95 years
2.	Have a minimum sample of 80 individuals
3.	Assessment includes measures of cognitive function and activities of daily living
4.	Informed consent forms allow for de-identified data sharing with academic partners.
All participating studies have the opportunity to participate in the analyses and to propose specific projects and papers.",Philanthropic funding to the Centre for Healthy Brain Ageing,https://cheba.unsw.edu.au/consortia/icc-dementia,population_cohort,2012,NA,international,7960,NA,na,"America, Asia, Europe and Oceania",2020-04-30,95,NA,pooled,TRUE,na,"Initial attempts at harmonising key variables are in progress. More information: Brodaty H et al. ICC-dementia (International Centenarian Consortium - dementia): an international consortium to determine the prevalence and incidence of dementia in centenarians across diverse ethnoracial and sociocultural groups. BMC Neurology (2016) 16:52
DOI 10.1186/s12883-016-0569-4 https://cheba.unsw.edu.au/consortia/icc-dementia",na,na,na,central_and_multiple,ex_post,NA,NA,18,ageing|mental_health|neurological_diseases,NA,18,NA,NA,NA,NA,NA
idear,Integrated Datasets in Europe for Ageing Research,IDEAR,"The aim of the IDEAR network is to investigate how determinants in later working life, during the retirement transition, and in early retirement influence for how long older individuals are able to live actively and healthily. 
This will be done using by state of the art statistical modelling in well-established prospective occupational cohort studies, longitudinal ageing studies and registry data from Sweden, the UK, Finland, France and Denmark. 
These studies represent countries in three different welfare regimes and cover up to several decades from mid-life, retirement, early old age, and the beginning of older-old age.",,8,0,0,0,0,0,Prospective occupational cohort studies,"This work was supported by the Swedish Council for Health, Working Life and Welfare [FAS #2012-1661] and [FORTE #2019-01225]; the Academy of Finland; and the Economic and Social Research Council [ES/K01336X/1].",http://www.idear-net.net,population_cohort,2012,SWE|GBR|FIN|FRA|DNK,international,5000000,150000,work_related_stress|work_life_balance,NA,2020-04-29,10,74,na,FALSE,na,NA,na,na,na,na,ex_post,15,NA,10,NA,NA,6,NA,NA,NA,NA,NA
igems,Interplay of Genes and Environment across Multiple Studies,IGEMS,"The maing objective of the IGEMS is to understand why early life adversity, and social factors such as isolation and loneliness, are associated with diverse outcomes including mortality, physical functioning (health, functional ability), and psychological functioning (well-being, cognition), particularly in later life.",,16,0,0,0,0,0,"Cohorts involving twins with measures of physical health, cognitive health and emotional health, and measures of multiple facets of adult socioeconomic status (SES; e.g.occupation, education, financial strain)","National Institutes of Health Grants No. R01 AG037985, R56 AG037985, RF1 AG058068, R01 AG059329 and R01 AG060470.",https://dornsife.usc.edu/labs/igems/,population_cohort,2012,SWE|DNK|FIN|USA|AUS,international,76233,76233,environmental_hazards|work_related_stress,NA,2020-03-20,14,103,meta|pooled,TRUE,algorithmic|calibration|standardisation|latent_variable_model,"Harmonization has been done for specific analyses. 

Some research papers: 
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4833715/   
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5706656/",under_request,no,r|stata|sas|other,central_and_multiple,ex_post,31,retrospective,18,NA,NA,18,NA,NA,NA,NA,NA
ihcc,International HundredK+ Cohorts Consortium,IHCC,To create a global network for translational research that utilizes large cohorts to enhance the understanding of the biological and genetic basis of disease and improve clinical care and population health. They also put in common challenges and better strategies in sharing data across cohorts.,,61,0,0,0,0,0,"Cohorts that recruit 100k participants or more, are disease-agnostic, have available biospecimens, and have longitudinal follow-up activities. Cohorts from under-represented populations and low and middle-income countries (LMICs) may not fit some of these criteria, so exceptions are made to be inclusive as possible.",Global Genomics Medicine Collaborative,https://ihcc.g2mc.org/about/,population_cohort,2018,NA,international,NA,NA,na,NA,2020-03-20,0,150,federated,TRUE,na,NA,na,na,na,multiple,ex_post,NA,retrospective,67,public_health|genetics,NA,0,NA,NA,NA,NA,NA
interconnect,interconnect,interconnect, The aim of interconnect is to develop a global data access and results sharing’ network that enables existing data to be readily used in cross-cohort analyses to understand population differences in the risk of diabetes and obesity.,,27,0,0,0,0,0,Cohort studies with information of diabetes and obesity.,EU FP7,http://www.interconnect-diabetes.eu/global-network/,population_cohort|patient_cohort,2013,NA,international,1000000,1000000,na,"Europe, America, Australia, Asia, Africa",2020-06-30,NA,NA,meta|federated,FALSE,algorithmic|standardisation,NA,under_request,no,obiba|datashield,central_and_multiple,ex_post,100,NA,43,general_epidemiology,NA,43,NA,NA,NA,NA,NA
interlace,International Collaboration for a Life Course Approach to  Reproductive Health and Chronic Disease Events,InterLACE,The aim of InterLACE is to advance understandingof women’s reproductive health in relation to chronic disease risk by pooling individual participant data from several cohort and cross-sectional studies.,,17,0,0,0,0,0,"Observational studies, which had collected prospective or retrospective survey data on women’s reproductive health across the lifespan (such as ages at menarche, first birth, and natural menopause), sociodemographic and lifestyle factors, and chronic disease events, could contribute data to the InterLACE consortium, regardless of the sample size and ethnic background of participants.",This project has received funding from the National Health and Medical Research Council (NHMRC) and the Australian Research Council (ARC).,https://public-health.uq.edu.au/interlace,population_cohort,2012,AUS|GBR|DNK|FRA|JPN|USA|LBN|ESP|SWE|MAR|CHN,international,839666,839666,na,NA,2020-04-30,30,75,pooled,TRUE,na,"Mishra G et al. The InterLACE study: Design, data harmonization and characteristicsacross 20 studies on women’s health. Maturitas 92 (2016) 176–185. doi:10.1016/j.maturitas.2016.07.021",na,na,sas,central,ex_post,1300,NA,26,reproductive_health|chronic_diseases,NA,26,NA,NA,NA,NA,NA
lifebrain,Lifebrain: Healthy minds 0–100 years: Optimising the use of European brain imaging cohorts,Lifebrain,"Our main objective is to identify determinants of brain, cognitive and mental health at different stages of life. By integration, harmonisation and enrichment of major European neuroimaging studies of age differences and changes, we will obtain an unparalleled database of fine-grained brain, cognitive and mental health measures of more than 5.000 individuals. ",,10,0,0,0,0,0,NA,"Funded with 10 million EUR by the European Commission for 5 years, Horizon2020, Grant agreement no:  732592 - Lifebrain - H2020-SC1-2016-2017/H2020-SC1-2016-RTD.",https://www.lifebrain.uio.no/,population_cohort|patient_cohort,2017,NOR|DNK|SWE|GBR|DEU|NLD|ESP,international,12527,5000,other,NA,2021-06-04,0,90,pooled|other,FALSE,algorithmic|calibration|standardisation|latent_variable_model|multiple_imputation,"Walhovd KB et al. Healthy minds 0–100 years: Optimising the use of European brain imaging cohorts (“Lifebrain”). European Psychiatry 50 (2018) 47–56. https://doi.org/10.1016/j.eurpsy.2017.12.006
https://www.sciencedirect.com/science/article/pii/S0924933817330237",yes,na,r|other,central,ex_post,NA,NA,11,ageing|mental_health|public_health|neurological_diseases|genetics|medical_imaging,NA,11,NA,"Socio-economic status (education, income)",FreeSurfer,"We will use procedures developed and described by the BioSHaRE project for data harmonisation, integration and federated data analyses.",NA
lifepath,Lifecourse biological pathways underlying social differences in healthy ageing,LIFEPATH,"The overarching aim of the LIFEPATH project is to understand the determinants of diverging ageing pathways among individuals belonging to different socio-economic groups. This will be achieved via an original study design that integrates social science approaches with biology (including molecular epidemiology), using existing population cohorts and omics measurements (particularly epigenomics). ",,16,0,0,0,0,0,"LIFEPATH  includes information and biological samples from 17 cohorts, including several with extensive phenotyping and repeat biological
samples, and a very large cohort  (1 million individuals) without biological samples  (WHIP,  from Italy). They were chosen for the combination of good measures of
socioeconomic status,  risk factors for non-communicable diseases (NCDs) and biomarkers already measured  (or availability of blood samples for further testing).",This project has received funding from the European Union’s Horizon 2020 Research and Innovation Programme under the Grant Agreement No. 633666,https://www.lifepathproject.eu,population_cohort,2015,GBR|IRL|PRT|FRA|CHE|ITA|FIN|USA|AUS,international,1941000,102774,na,NA,2020-04-29,0,150,meta|pooled,FALSE,na,"More information: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503871/pdf/aging-11-101900.pdf 
https://www.pnas.org/content/pnas/suppl/2018/05/30/1800028115.DCSupplemental/pnas.1800028115.sapp.pdf",yes,na,na,central_and_multiple,ex_post,270,NA,18,ageing|social_environment|general_epidemiology|other_omics,NA,8,NA,NA,NA,NA,NA
mindmap,Promoting mental well-being and healthy ageing in cities,MINDMAP,"The objectives of MINDMAP are: 
1. to harmonize and link data from population registries and cohort studies of mental health ageing in European cities to allow co-analysis of data, based on expertise by Erasmus MC with registry data and McGill University with survey data; 
2. to develop a conceptual model of mental health in urban settings based on input from experts on mental health from multiple disciplinary perspectives and the integration of results from all work packages on the physical and social environmental, psychosocial, biological and genetic pathways linking the urban environment to mental health; and 
3. to develop a methodological framework for the application of advanced causal inference and mediation analysis to study the causal impact of the urban environment on mental health.",,10,0,0,0,0,0,Cohort studies with information on the urban environment and the individual determinants of mental wellbeing in older age.,This project has received funding from the European Union under the Horizon 2020 Programme.,http://www.mindmap-cities.eu/,population_cohort,2016,CAN|NLD|RUS|POL|NOR|DEU|USA|FRA|ITA,international,2662777,2662777,other,NA,2020-04-27,19,NA,federated,FALSE,na,"More information: 
- https://www.maelstrom-research.org/mica/harmonization-study/mindmap-hp
- https://dx.doi.org/10.1186%2Fs12889-018-5031-7",under_request,na,obiba|datashield|r,multiple,ex_post,2560,NA,10,ageing|mental_health|environmental_health|public_health|social_environment|general_epidemiology|genetics,NA,9,NA,Endocrine disruptors,NA,NA,NA
near,National E-lnfrastructure for Aging Research,NEAR,"The objective of NEAR is to improve the health, care, and well-being of older people by optimizing a national integration of the major Swedish longitudinal, population-based projects on the health and care of older people.",,15,0,0,0,0,0,Cohorts of health and care with at least seven years of follow-up time of older people in the Swedish population.,This project has received funding from the Swedish Research Council,https://www.near-aging.se/,population_cohort,2017,SWE,national,190268,0,na,NA,2020-08-21,26,NA,meta|pooled|federated|na,TRUE,algorithmic|standardisation|latent_variable_model|others,"Repository: https://www.maelstrom-research.org/mica/network/near. 
Harmonization process is planned in 2020.",under_request,under_request,obiba|r|stata,central_and_multiple,ex_post,NA,NA,15,NA,NA,0,NA,NA,NA,NA,NA
omega-net,Network on the Coordination and Harmonisation of European Occupational Cohorts project,OMEGA-NET,"The overarching concept of OMEGA-NET is to create a network to optimize and integrate occupational, industrial, and population cohorts at the European level, and to provide a foundation for an enhanced evidence base for the identification of health risks and gains related to occupation and employment to foster safe and healthy preventive strategies and policies.

Research Coordination Objectives and health

Coordinate and integrate cohorts on occupational health in Europe:
* Implement an online interactive tool with detailed information on existing cohorts
* Facilitate work on harmonization of occupational exposure and standardization of health outcome information and new protocols for data collection
* Promote stakeholder engagement from the start of the project.

Capacity Building Objectives:
* Connect scientific communities on occupational health in Europe
* Provide networking and leadership opportunities for early career researchers, as well as researchers from COST Inclusiveness Target Countries
* Provide training in occupational epidemiology and exposure assessment",,0,0,0,0,0,0,"European occupational, industrial, and population, and registry-based cohorts with data on occupational exposures.",This project has received funding from the EU-funded COST (European Cooperation in Science and Technology) Association,http://omeganetcohorts.eu,population_cohort,2017,NA,international,NA,NA,work_related_stress|work_life_balance|migration|other,Europe,2020-04-29,NA,NA,na,TRUE,na,"The analyses are ongoing. 

Turner & Mehlum. Greater coordination and harmonisation of European occupational cohorts is needed. Occup Environ Health 2018. http://dx.doi.org/10.1136/oemed-2017- 104955.
Peters et al. (2020). International Inventory of Occupational Exposure Information: OMEGA-NET. Ann Work Expo Health 2020. https://doi.org/10.1093/annweh/wxaa021. Kogevinas et al. The OMEGA-NET international inventory of occupational cohorts. Ann Work Expo Health, in press. 2020.
OMEGA-NET is not a research project, but a COST Action, i.e. a 4-year (2017-2021) EU-funded research network.
The Exposome Project for Health and Occupational Research (EPHOR; 2020-2024; www.ephor-project.eu) was recently funded by Horizon 2020 and is partly based on work done in OMEGA-NET, particularly the inventories of occupational cohorts and exposure assessment tools.",yes,no,NA,multiple,ex_post,NA,NA,NA,NA,NA,0,NA,Work-related hazards,NA,NA,NA
reach,Research Advancement through Cohort Cataloguing and Harmonization,ReACH,The aim of ReACH is to provide resources in the form of a comprehensive web-based catalogue and an harmonization platform to optimize and expand the use of Canadian pregnancy and birth cohorts data and biological samples.,,27,0,0,0,0,0,"(1) recruit Canadian mothers and/or children; 
(2) have a longitudinal design (i.e. at least one follow-up of participants after the initial collection event); 
(3) have collected data (baseline or follow-up) after 2000; 
(4) collect information on pregnancy and birth outcomes",This project has received funding from the CIHR Operating Grant for the Canadian DoHaD Cohort Registry,https://www.maelstrom-research.org/mica/network/reach#/,population_cohort|patient_cohort|clinical_trial,2016,ARG|AUS|BEL|BRA|CAN|CHL|HRV|EGY|EST|DEU|GRC|HUN,international,89889,NA,na,Principally Canada,2020-04-29,0,45,pooled,TRUE,algorithmic|calibration|standardisation|latent_variable_model|multiple_imputation|others,"The harmonisation will be achieved to serve the needs of a series of case studies.
The strategies of harmonization are in some cohorts prospective and another retrospective.",yes,under_request,obiba|r|other,central_and_multiple,ex_post,NA,NA,NA,birth_infancy_childhood_health,NA,NA,NA,NA,NA,NA,NA
saprin,South African Population  Research Infrastructure Network,SAPRIN,"The objective of SAPRIN is to draw together and harmonise a network of South Africa’s health and demographic surveillance sites (HDSS) situated in rural and urban setting, each with a population of at least 100 000 individuals under surveillance.",,3,0,0,0,0,0,"Standardised, population-based data in geographically-defined sections of impoverished communities.","This project has received funding from the Department of Science and Technology, Republic of SouthAfrica",http://saprin.mrc.ac.za/about.html,population_cohort,2016,ZAF,national,315000,315000,climate_change|urbanization|migration,NA,2020-05-25,0,120,pooled,TRUE,algorithmic|standardisation,"Datasets are organized in http://saprindata.samrc.ac.za/index.php/auth/login/?destination=catalog/14/get_microdata. 
To obtain the data, you need to be registered. 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5559644/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736134/pdf/nihms925335.pdf",yes,yes,other,central_and_multiple,ex_post,52,NA,5,public_health,NA,3,NA,NA,NA,NA,NA
sentinel-initiative,Sentinel Initiative,Sentinel Initiative,Serve as a system to analyze and assess safety risks and effectiveness in FDA-approved(Food and Drug Administration) drugs and medical products using electronic health data.,,14,0,0,0,0,0,Administrative databases. Selected electronic health record and laboratory test result data.,Food and Drug Administration (FDA),https://www.sentinelinitiative.org/,population_cohort|patient_cohort,2008,USA,national,350000000,350000000,na,NA,2020-06-01,0,100,meta,TRUE,others,NA,yes,no,sas|other,multiple,ex_post,NA,NA,17,public_health|general_epidemiology|biomedicine,NA,17,NA,NA,NA,NA,https://www.sentinelinitiative.org/sentinel/data/distributed-database-common-data-model
sic,Social Inequality in Cancer cohort study,SIC,"The Social Inequality in Cancer (SIC) cohort study was established to determine path- ways through which socioeconomic position affects morbidity and mortality, in particular common subtypes of cancer.",,5,0,0,0,0,0,"The inclusion criteria for enrolment in the SIC cohort were: a population-based study from Denmark with data on behavioural and biological risk factors for sub-types of cancer and other common outcomes (i.e. cardiovascular diseases); and a baseline examination after 1980, since socioeconomic information drawn from the central registries was only available after January 1980.","This project has received funding from the Danish Cancer Society, Commission of Social Inequality in Cancer under grant number SU08004.",,population_cohort,2009,DNK,national,83006,83006,na,NA,2020-04-29,20,93,pooled,FALSE,na,,under_request,na,na,central_and_multiple,ex_post,28,NA,7,social_environment|cancer,NA,7,NA,NA,NA,NA,NA
strokog,Stroke and Cognition Consortium,STROKOG,"STROKOG is a consortium of longitudinal studies of cognitive disorders following stroke, TIA or small vessel disease. Developed under the auspices of VASCOG (Society for the Study of Vascular Cognitive and Behavioural Disorders), it is the first international effort to harmonise work on post-stroke dementia and is being led by CHeBA researchers at UNSW Sydney. STROKOG aims to facilitate a better understanding of the determinants of vascular contributions to cognitive disorders and help improve the diagnosis and treatment of vascular cognitive disorders (VCD).",,33,0,0,0,0,0,"1. Prospective in recruitment and evaluation;
2. Have a minimum of 75 participants;
3. Include cognitive outcomes as one of the primary objectives; 4. Are longitudinal, with a minimum of two assessments.

All of the cohorts included are longitudinal observation studies with stroke/TIA patient cohorts.",Vincent Fairfax Family Foundation (VFFF); the National Health and Medical Research Council (Australia),https://cheba.unsw.edu.au/consortia/strokog,population_cohort|patient_cohort|clinical_trial,2015,KOR|BGR|FRA|NLD|AUS|GBR|NGA|SGP|POL|DEU|ZAF|USA|SWE|FIN|IRL|HKG|CHN,international,16000,3100,na,,2020-05-25,12,98,NA,TRUE,algorithmic|standardisation,NA,under_request,under_request,stata|spss|other,central_and_multiple,ex_post,60,NA,33,mental_health|cardiovascular_diseases|neurological_diseases,NA,14,NA,NA,NA,NA,NA
